ID,PROJECT_NAME,POINT_TYPE,POINT_ORDER,LATITUDE,LONGITUDE,PROJECT_SECTOR,DEVELOPERS,DISTRICT,APPROVED_MONTH,,,,,,
1,"Exporation of Gold at  Matapila area, T/A Mazengera in Lilongwe district",Boundary,1,-13.9988684,33.9196963,Mining,Foodworths Limited,Lilongwe,June,,,,,,
1,"Exporation of Gold at  Matapila area, T/A Mazengera in Lilongwe district",Boundary,2,-14.0056129,33.9197139,Mining,Foodworths Limited,Lilongwe,June,,,,,,
1,"Exporation of Gold at  Matapila area, T/A Mazengera in Lilongwe district",Boundary,3,-14.0096955,33.9372581,Mining,Foodworths Limited,Lilongwe,June,,,,,,
1,"Exporation of Gold at  Matapila area, T/A Mazengera in Lilongwe district",Boundary,4,-13.9927442,33.9371431,Mining,Foodworths Limited,Lilongwe,June,,,,,,
1,"Exporation of Gold at  Matapila area, T/A Mazengera in Lilongwe district",Boundary,5,-13.9927027,33.9338191,Mining,Foodworths Limited,Lilongwe,June,,,,,,
1,"Exporation of Gold at  Matapila area, T/A Mazengera in Lilongwe district",Boundary,6,-13.9927442,33.9371431,Mining,Foodworths Limited,Lilongwe,June,,,,,,
2,"Exploration of Gold, Rutile, Monazite, Illemenite and Graphite in T/A M'bwana and T/A Mkondowe in Usisya, NkhataBay",Boundary,1,-11.130585,34.1525913,Mining,Royal Mining Limited,NkhataBay,March,,,,,,
2,"Exploration of Gold, Rutile, Monazite, Illemenite and Graphite in T/A M'bwana and T/A Mkondowe in Usisya, NkhataBay",Boundary,2,-11.129704,34.093109,Mining,Royal Mining Limited,NkhataBay,March,,,,,,
2,"Exploration of Gold, Rutile, Monazite, Illemenite and Graphite in T/A M'bwana and T/A Mkondowe in Usisya, NkhataBay",Boundary,3,-11.0811461,34.0931114,Mining,Royal Mining Limited,NkhataBay,March,,,,,,
2,"Exploration of Gold, Rutile, Monazite, Illemenite and Graphite in T/A M'bwana and T/A Mkondowe in Usisya, NkhataBay",Boundary,4,-11.0805528,34.1529352,Mining,Royal Mining Limited,NkhataBay,March,,,,,,
3,Construction and Operation of the Area 18 filling station along the presidential dual carriage road in Lilongwe City,Single_point,,-13.9431204,33.7689256,Energy,Palm Investments,Lilongwe City,March,,,,,,
4,"Exploration of Base Metals, Gold, Lithium, Platinum Group Metals, Lead, and Graphite in Lilongwe and Dowa",Boundary,1,-13.6695871,34.0160071,Mining,Yankho Mining Limited,Lilongwe & Dowa,March,,,,,,
4,"Exploration of Base Metals, Gold, Lithium, Platinum Group Metals, Lead, and Graphite in Lilongwe and Dowa",Boundary,2,-13.6782294,34.016229,Mining,Yankho Mining Limited,Lilongwe & Dowa,March,,,,,,
4,"Exploration of Base Metals, Gold, Lithium, Platinum Group Metals, Lead, and Graphite in Lilongwe and Dowa",Boundary,3,-13.6839449,34.0354857,Mining,Yankho Mining Limited,Lilongwe & Dowa,March,,,,,,
4,"Exploration of Base Metals, Gold, Lithium, Platinum Group Metals, Lead, and Graphite in Lilongwe and Dowa",Boundary,4,-13.6839935,34.0497251,Mining,Yankho Mining Limited,Lilongwe & Dowa,March,,,,,,
4,"Exploration of Base Metals, Gold, Lithium, Platinum Group Metals, Lead, and Graphite in Lilongwe and Dowa",Boundary,5,-13.6684686,34.0501186,Mining,Yankho Mining Limited,Lilongwe & Dowa,March,,,,,,
